name,dck1,dck2,dck3,pd1,pd2,pd3,pg1,pg2,pg3,rd1,rd2,rd3,rg1,rg2,rg3,sov1,sov2,sov3,yd1,yd2,yd3,yg1,yg2,yg3
AAC1,5964,4155,4000,397,546,558,403,536,300,595,315,406,546,548,503,3085,13574,3038,3024,2060,2429,863,779,450
AAC3,1172,947,859,14,27,17,815,591,219,16,7,13,690,587,552,136,864,183,1051,798,992,688,699,260
AAD3,198,124,169,80,80,185,63,69,52,81,57,69,37,65,99,60,359,79,126,119,90,61,119,56
AAD4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AAH1,642,585,605,3441,3927,8575,3466,3368,4080,2959,2835,4169,3709,3204,6282,1348,6574,1295,2708,1823,2841,4541,3624,3404
AAN1,1552,810,1171,1,56,11,21,43,16,65,44,2,23,47,18,1358,4284,1548,173,211,120,22,55,15
AAP1,289,157,290,1214,1188,1259,390,1056,540,457,872,660,514,978,659,238,762,193,607,732,476,470,1514,420
AAT1,1568,1177,1410,782,231,812,461,246,220,673,137,263,534,261,289,657,4390,860,1355,1031,1108,382,427,265
AAT2,280,299,268,0,4,1,8,20,0,12,6,0,14,37,0,193,1061,217,62,67,34,12,32,2
ABP1,1462,724,823,97,155,99,213,72,58,384,192,105,230,114,93,2567,9054,2345,621,566,514,205,225,81
ABP140,1234,684,969,267,80,73,141,108,188,177,98,268,154,78,190,1446,5133,1550,574,477,465,149,136,72
ABZ1,3600,3180,2573,3643,10799,13876,2950,8920,6297,3728,8712,7495,3279,9268,9298,826,4014,957,5081,4351,3175,4774,10844,4281
ABZ2,16,2,8,0,0,0,2,1,0,0,0,0,4,0,0,16,203,8,2,0,2,0,0,2
ACA1,1424,1046,1139,521,217,287,129,120,68,145,221,110,204,112,137,1323,5521,1675,605,524,587,182,167,61
ACB1,2611,1669,1750,309,250,346,145,439,89,239,536,163,242,304,220,2703,12353,2672,783,738,588,218,200,108
ACF2,1116,880,1218,216,202,109,279,89,68,365,50,15,309,138,101,1156,5930,1105,615,578,514,117,154,58
ACF4,770,655,625,17552,16853,61567,13202,14078,30686,15331,14987,31606,14014,15302,49415,725,3027,790,3880,3027,5174,6920,7643,8624
ACK1,1965,1547,1163,56,96,199,83,132,96,139,171,265,121,193,198,1133,5636,1179,833,775,683,229,286,96
ACL4,656,541,519,8,100,12,168,178,14,177,135,13,133,101,7,624,2930,477,346,262,253,97,80,42
ACM1,1671,1484,1123,297,414,418,232,284,269,164,334,251,205,285,255,1371,7554,1548,1466,947,947,462,327,137
ACO2,529,638,448,0,26,306,18,21,74,13,10,65,39,20,146,694,1984,500,322,203,192,51,50,31
ACS1,943,835,795,200,723,1911,282,661,705,321,557,773,337,545,664,171,1213,428,1055,1056,802,608,1191,346
ADA2,150,129,110,0,0,0,0,0,0,0,0,0,0,0,0,65,213,44,4,36,0,0,12,0
ADD37,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,154,16,10,12,6,2,5,0
ADD66,917,696,774,533,493,923,832,678,324,604,447,229,657,540,615,553,2653,651,1380,966,1220,1071,935,566
ADE1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,6,18,8,8,2
