exp,total_reads,barcoded,barcoded_dm,matched,matched_dm,blasted,blasted_dm,mixaled,mixaled_dm,final_mean,final_max,barcoded_mean_qual,dm_mean_qual,nmdm_mean_qual,p_barcoded,p_barcoded_dm,matched_in_barcoded,matched_in_barcoded_dm,balsted_in_barcoded,blasted_in_barcoded_dm,mixaled_in_barcoded,mixaled_in_barcoded_dm,ORFs_in_Puddu,ORFs_in_YKOC,final_ORF_collision_count,reads_from_Puddu,reads_from_YKOC
DCk1_L00_R1,2720228,2260714,411948,1773787,291835,341862,82193,397736,93869,1214.294709121379,34412,16.46838015770103,16.791467761859252,15.320011789207543,0.831075189285604,0.151438776455503,0.7846136220680723,0.7084267917309952,0.15121859731040724,0.1995227552992125,0.17593379790632516,0.22786613844465806,2664,1428,17531,1806984.6666666667,712388
DCk1_L00_R2,2720228,2330830,302574,1842025,196362,349707,67013,401125,75376,1214.294709121379,34412,16.27331986378502,15.454737271973404,14.815033636082406,0.8568509698451747,0.11123111739163041,0.7902871509290682,0.6489718217692201,0.15003539511676098,0.22147639916185793,0.1720953480090783,0.24911591875045444,2654,1423,17531,1779749.6666666667,705862.5
DCk2_L00_R1,2070270,1727111,309159,1374826,222677,258656,61340,299355,69690,933.4395499162079,25697,16.676488795250773,16.87277910140901,15.555087061804457,0.8342443256193637,0.14933269573533886,0.7960264279481747,0.7202669176701956,0.14976223300065833,0.19840923278960018,0.17332701835608713,0.22541798880187863,2599,1359,12683,1338865.6666666667,558966
DCk2_L00_R2,2070270,1793752,217574,1418516,142089,274071,50537,315007,56825,933.4395499162079,25697,16.280820844507733,15.387951144206221,14.744748477752868,0.8664338467929303,0.10509450458152801,0.7908094318501109,0.6530605678987379,0.1527920247615055,0.2322749960932832,0.17561346273063388,0.26117550810299023,2609,1377,12683,1301967.6666666667,543647.5
DCk3_L00_R1,2083687,1734658,312718,1384419,226152,259170,61491,299944,69906,940.6210198707206,25673,16.698040035215836,16.837590181329404,15.552287984749588,0.8324945157310095,0.15007916256136358,0.7980933417422915,0.7231819083007693,0.14940697244067708,0.19663402810199604,0.17291247035438687,0.2235432562244578,2582,1347,12844,1351933.6666666667,558313.5
DCk3_L00_R2,2083687,1807199,216613,1435578,142392,274279,49849,314605,55982,940.6210198707206,25673,16.316397342181606,15.349819288125333,14.692674879769571,0.8673082857454119,0.10395659232888625,0.7943663094103084,0.6573566683440052,0.15177022563646836,0.23012930895190964,0.1740843150090278,0.25844247575168616,2592,1368,12844,1319332.6666666667,549817.6666666666
pD1_L00_R1,2137682,1655071,435944,1326843,317435,222221,80477,256141,91183,945.9837203734738,267942,16.484747699997882,16.703166475583444,15.417962999499629,0.7742362989443706,0.20393304523310762,0.8016834323119673,0.7281554511588645,0.1342667474688397,0.18460398583304277,0.1547613365227232,0.20916218596884004,2241,1128,22848,1385640.6666666667,442566
pD1_L00_R2,2137682,1793996,270823,1422244,175332,256010,63518,291766,70432,945.9837203734738,267942,16.19367651321108,15.329944328501321,14.66432449985707,0.8392249174573206,0.12669003153883507,0.7927799170120781,0.6474043932753126,0.14270377414442395,0.23453694848664997,0.1626346992969884,0.2600665379232931,2268,1135,22848,1338938.6666666667,433043
pD2_L00_R1,1987186,1552821,396583,1294036,300937,185193,67701,211498,76251,893.9959300933684,172057,16.726783815730514,16.780901070235807,15.519075113845,0.7814170389686723,0.1995701459249411,0.833345247134087,0.758824760516714,0.11926229745733732,0.17071079698322925,0.13620243415049127,0.19226996618614514,2227,1083,25687,1336335.6666666667,403620
pD2_L00_R2,1987186,1688137,238333,1387207,164799,215921,49365,244706,54789,893.9959300933684,172057,16.37549556240446,15.375034660857967,14.667614593039803,0.8495113190209673,0.11993492305199413,0.8217384015633802,0.6914653027486751,0.1279049034527411,0.2071261638128165,0.14495624466497684,0.2298842376003323,2250,1102,25687,1293368.6666666667,391927
